x,y
888,264.79999999999995
143,334.4
881,262.4
148,339.19999999999993
881,262.4
149,329.6
874,260.0
150,332.0
876,260.0
151,329.6
885,281.6
151,329.6
882,281.6
152,332.0
879,279.19999999999993
149,329.6
875,279.19999999999993
154,332.0
860,252.79999999999995
154,332.0
857,252.79999999999995
864,274.4
156,322.4
863,272.0
156,320.0
860,272.0
154,327.19999999999993
855,272.0
854,269.6
158,329.6
851,267.19999999999993
159,341.6
848,267.19999999999993
159,327.19999999999993
845,264.79999999999995
842,264.79999999999995
157,327.19999999999993
838,262.4
161,322.4
835,262.4
160,324.79999999999995
832,260.0
160,317.6
829,257.6
163,324.79999999999995
825,257.6
164,322.4
822,255.19999999999993
819,255.19999999999993
816,252.79999999999995
164,310.4
813,252.79999999999995
165,312.79999999999995
810,250.39999999999998
166,320.0
807,250.39999999999998
166,310.4
804,248.0
167,320.0
801,248.0
798,245.60000000000002
169,308.0
795,245.60000000000002
792,243.19999999999993
170,303.19999999999993
789,243.19999999999993
786,240.79999999999995
172,308.0
783,240.79999999999995
172,310.4
780,240.79999999999995
777,238.39999999999998
774,236.0
176,312.79999999999995
771,236.0
178,300.79999999999995
767,233.60000000000002
765,233.60000000000002
172,308.0
811,300.79999999999995
753,209.60000000000002
178,308.0
759,231.19999999999993
178,308.0
757,228.79999999999995
179,308.0
754,228.79999999999995
180,296.0
751,226.39999999999998
748,226.39999999999998
179,312.79999999999995
746,226.39999999999998
182,308.0
742,224.0
727,188.0
182,305.6
737,224.0
180,305.6
734,221.60000000000002
511,-172.0
179,300.79999999999995
731,221.60000000000002
179,312.79999999999995
728,216.79999999999995
182,305.6
725,216.79999999999995
183,305.6
716,214.39999999999998
718,214.39999999999998
187,308.0
717,214.39999999999998
188,305.6
714,214.39999999999998
180,296.0
711,212.0
188,298.4
709,212.0
190,298.4
706,209.60000000000002
189,293.6
703,204.79999999999995
191,296.0
701,204.79999999999995
698,204.79999999999995
195,296.0
696,202.39999999999998
693,202.39999999999998
194,296.0
691,202.39999999999998
194,293.6
688,202.39999999999998
195,300.79999999999995
685,200.0
196,293.6
682,228.79999999999995
746,195.19999999999993
679,200.0
676,195.19999999999993
674,197.60000000000002
198,279.19999999999993
671,197.60000000000002
668,195.19999999999993
665,195.19999999999993
663,221.60000000000002
727,192.79999999999995
661,192.79999999999995
202,286.4
