count(10HZ),latitude,longitude,batteryPercent
358,59.405437,16.427566,92
359,59.405437,16.427567,92
360,59.405437,16.427567,92
361,59.405436,16.427566,92
362,59.405436,16.427566,92
363,59.405436,16.427567,92
364,59.405436,16.427566,92
365,59.405436,16.427566,92
366,59.405436,16.427566,92
367,59.405436,16.427566,92
368,59.405436,16.427566,92
369,59.405436,16.427566,92
370,59.405436,16.427566,92
371,59.405436,16.427566,92
372,59.405436,16.427566,92
373,59.405436,16.427566,92
374,59.405436,16.427566,92
375,59.405436,16.427566,92
376,59.405436,16.427566,92
377,59.405436,16.427566,92
378,59.405436,16.427566,92
379,59.405436,16.427566,92
380,59.405436,16.427566,92
381,59.405436,16.427567,92
382,59.405435,16.427567,92
383,59.405435,16.427569,92
384,59.405434,16.42757,92
385,59.405433,16.427571,92
386,59.405432,16.427572,92
387,59.405431,16.427573,92
388,59.405431,16.427573,92
389,59.405431,16.427573,92
390,59.40543,16.427573,92
391,59.405431,16.427573,92
392,59.405431,16.427573,92
393,59.405431,16.427573,92
394,59.405431,16.427573,92
395,59.405431,16.427573,92
396,59.405431,16.427573,92
397,59.405431,16.427573,92
398,59.405431,16.427573,92
399,59.405431,16.427573,92
400,59.405431,16.427573,92
401,59.405431,16.427573,92
402,59.405431,16.427573,92
403,59.405431,16.427573,92
404,59.405431,16.427573,92
405,59.405431,16.427573,92
406,59.405431,16.427573,92
407,59.405431,16.427573,92
408,59.405431,16.427573,92
409,59.405431,16.427573,92
410,59.405431,16.427573,92
411,59.405431,16.427573,91
412,59.405431,16.427574,91
413,59.405431,16.427573,91
414,59.405431,16.427574,91
415,59.405432,16.427574,91
416,59.405432,16.427574,91
417,59.405432,16.427574,91
418,59.405432,16.427574,91
419,59.405432,16.427574,91
420,59.405432,16.427574,91
421,59.405432,16.427574,91
422,59.405432,16.427574,91
423,59.405432,16.427574,91
424,59.405432,16.427574,91
425,59.405433,16.427574,91
426,59.405433,16.427575,91
427,59.405433,16.427575,91
428,59.405433,16.427575,91
429,59.405433,16.427575,91
430,59.405433,16.427575,91
431,59.405433,16.427575,91
432,59.405433,16.427576,91
433,59.405433,16.427576,91
434,59.405433,16.427576,91
435,59.405433,16.427576,91
436,59.405433,16.427576,91
437,59.405433,16.427576,91
438,59.405433,16.427576,91
439,59.405433,16.427576,91
440,59.405433,16.427576,91
441,59.405433,16.427576,91
442,59.405433,16.427576,91
443,59.405433,16.427576,91
444,59.405433,16.427577,91
445,59.405433,16.427577,91
446,59.405433,16.427577,91
447,59.405433,16.427577,91
448,59.405433,16.427577,91
449,59.405433,16.427577,91
450,59.405433,16.427577,91
451,59.405433,16.427577,91
452,59.405433,16.427577,91
453,59.405433,16.427577,91
454,59.405433,16.427577,91
455,59.405433,16.427577,91
456,59.405433,16.427577,91
457,59.405433,16.427577,91
458,59.405433,16.427577,91
459,59.405433,16.427577,91
460,59.405433,16.427577,91
461,59.405433,16.427577,91
462,59.405433,16.427577,91
463,59.405433,16.427577,91
464,59.405433,16.427577,91
465,59.405433,16.427577,91
466,59.405433,16.427577,91
467,59.405433,16.427577,91
468,59.405433,16.427577,91
469,59.405434,16.427577,91
470,59.405434,16.427577,91
471,59.405434,16.427577,91
472,59.405434,16.427577,91
473,59.405434,16.427577,91
474,59.405434,16.427577,91
475,59.405434,16.427577,91
476,59.405434,16.427577,91
477,59.405434,16.427577,91
478,59.405434,16.427577,91
479,59.405434,16.427577,91
480,59.405434,16.427577,91
481,59.405435,16.427578,91
482,59.405435,16.427578,91
483,59.405435,16.427578,91
484,59.405435,16.427578,91
485,59.405435,16.427578,91
486,59.405435,16.427578,91
487,59.405435,16.427578,91
488,59.405435,16.427578,91
489,59.405435,16.427578,91
490,59.405435,16.427578,91
491,59.405435,16.427578,91
492,59.405435,16.427578,91
493,59.405435,16.427578,91
494,59.405435,16.427578,91
495,59.405435,16.427578,91
496,59.405435,16.427578,91
497,59.405435,16.427578,91
498,59.405435,16.427578,91
499,59.405435,16.427578,91
500,59.405435,16.427578,91
501,59.405435,16.427578,91
502,59.405435,16.427578,91
503,59.405435,16.427578,91
504,59.405435,16.427578,91
505,59.405435,16.427578,91
506,59.405435,16.427578,91
507,59.405435,16.427578,91
508,59.405435,16.427578,91
509,59.405436,16.427579,91
510,59.405436,16.427579,91
511,59.405436,16.427579,91
512,59.405436,16.427579,91
513,59.405436,16.427578,91
514,59.405436,16.427578,91
515,59.405436,16.427578,91
516,59.405436,16.427579,91
517,59.405436,16.427579,91
518,59.405436,16.427579,91
519,59.405436,16.427579,91
520,59.405436,16.427579,91
521,59.405436,16.427579,91
522,59.405437,16.427579,91
523,59.405437,16.427579,91
524,59.405437,16.427579,91
525,59.405437,16.427579,91
526,59.405437,16.427579,91
527,59.405437,16.427578,91
528,59.405437,16.427578,91
529,59.405437,16.427578,91
530,59.405437,16.427578,91
531,59.405437,16.427578,90
532,59.405437,16.427578,90
533,59.405437,16.427578,90
534,59.405437,16.427578,90
535,59.405437,16.427578,90
536,59.405437,16.427578,90
537,59.405437,16.427578,90
538,59.405437,16.427578,90
539,59.405437,16.427578,90
540,59.405437,16.427578,90
541,59.405437,16.427578,90
542,59.405437,16.427578,90
543,59.405437,16.427578,90
544,59.405437,16.427578,90
545,59.405437,16.427578,90
546,59.405437,16.427578,90
547,59.405437,16.427578,90
548,59.405437,16.427578,90
549,59.405437,16.427578,90
550,59.405437,16.427578,90
551,59.405437,16.427578,90
552,59.405437,16.427578,90
553,59.405436,16.427578,90
554,59.405436,16.427578,90
555,59.405436,16.427578,90
556,59.405436,16.427578,90
557,59.405436,16.427578,90
558,59.405436,16.427578,90
559,59.405436,16.427578,90
