x,y
0,154
0,154
0,154
0,153
0,154
0,153
0,154
0,154
0,154
0,154
0,151
418,129
378,60
0,149
22,121
673,143
382,220
250,604
576,674
403,55
358,207
419,127
398,48
520,30
626,5
357,207
355,208
354,208
355,208
354,208
354,208
719,95
391,129
349,208
341,211
340,211
339,211
339,211
339,211
338,211
332,213
331,214
325,214
325,214
323,215
322,215
321,215
321,216
321,216
321,216
319,216
318,216
310,219
310,219
309,219
308,220
308,220
308,220
307,220
305,220
302,222
302,222
301,222
300,223
299,224
1,669
109,121
400,57
313,577
297,225
296,225
936,169
288,227
285,226
1068,0
428,682
294,227
292,227
402,575
292,228
511,95
924,94
282,228
723,160
290,229
285,230
289,231
284,231
284,232
278,232
281,233
277,233
276,233
251,603
1041,258
1161,254
1062,239
273,232
1078,214
1186,206
1119,206
934,178
626,178
880,168
658,162
1040,155
1004,148
735,147
900,128
1039,126
841,125
419,122
694,119
910,116
660,111
725,103
1049,90
554,83
903,78
1012,60
1098,51
975,38
598,668
318,637
247,607
1234,248
1090,248
1156,233
281,233
1143,229
1196,217
933,184
1034,182
735,153
1065,138
658,134
135,134
729,129
414,116
275,113
901,110
505,108
711,105
435,94
960,90
634,669
1167,266
876,170
760,163
392,130
121,129
669,106
529,92
132,25
525,8
384,551
283,238
507,106
278,240
279,238
278,237
277,237
276,237
275,240
992,228
1197,221
715,105
659,100
273,236
1001,222
347,642
246,608
1211,256
1029,255
1186,211
1022,202
1041,166
1026,122
916,101
340,629
257,611
273,237
1166,230
984,228
1046,209
1189,206
814,195
1035,122
402,122
725,106
539,100
628,99
906,98
641,82
915,55
269,617
142,543
275,234
1012,202
255,609
271,234
1135,215
898,210
853,207
699,182
1035,170
925,115
683,100
513,53
146,37
392,17
521,14
1054,12
629,6
157,0
292,623
244,606
1018,252
1203,237
275,234
1072,225
1092,217
1002,215
1054,196
943,172
1048,170
878,167
897,152
739,145
1015,144
407,128
1042,104
678,100
887,88
717,79
897,71
392,51
379,15
529,12
346,636
273,234
727,154
897,92
247,605
273,242
1051,158
718,91
519,37
264,613
1063,223
1195,215
938,210
1115,209
1011,67
255,608
271,241
138,25
271,244
270,241
270,235
269,242
269,242
265,243
266,244
266,244
261,235
261,244
261,245
261,245
1177,245
262,245
1240,188
262,245
1254,246
260,245
1205,242
255,246
255,246
258,247
258,247
255,248
255,247
255,247
258,247
254,248
249,249
