label,x,y,l,angle,offset
motion,565,203,26.969958338604226,31.636035998627584,0
motion,555,204,26.339479163260403,29.85543741542662,0
motion,558,210,26.586030312314758,31.11881915623661,0
motion,567,205,27.28518959382844,32.23678655213023,0
motion,497,205,24.046146512339043,17.500861268952846,0
motion,561,204,27.02735353421535,31.001525662735354,0
motion,562,205,26.961558512821693,31.30412349559097,0
motion,563,211,27.064165810751952,32.19573393471325,0
motion,565,203,27.11810707153151,31.636035998627584,0
motion,564,201,27.004654178827103,31.224021099248255,0
motion,565,203,26.903038116536607,31.636035998627584,0
motion,506,207,24.334976843649116,19.752751924371964,0
motion,567,205,27.572089328780212,32.23678655213023,0
motion,506,205,24.50152212034375,19.588399274027367,0
motion,576,203,28.16653591851589,33.63099973297476,0
motion,569,213,27.806642442361678,33.56631873457332,0
motion,578,203,28.24601524833117,33.98419112056422,0
motion,579,202,28.06170562026279,34.0412119314979,0
motion,507,201,24.54020253579994,19.49306191115099,0
motion,573,211,28.07550073949278,34.05578030093244,0
motion,580,201,28.409221458241795,34.097652578025354,0
motion,575,210,28.065984667669575,34.29506911034059,0
motion,581,201,28.357841251487105,34.27114070198994,0
motion,582,209,28.5915772373016,35.413176076777134,0
motion,511,199,24.862546051754265,20.224859431168085,0
motion,513,194,24.99353933063997,20.259038655298113,0
motion,510,196,24.99500469865135,19.763736353096405,0
motion,578,206,28.25212769939303,34.34315175307871,0
motion,512,190,25.201202441759886,19.730361254731037,0
motion,578,210,28.168408509708854,34.832224512588624,0
motion,589,200,28.814181567363875,35.51379460056355,0
motion,517,193,25.169522510295128,21.037511025421807,0
motion,584,200,28.264241829573976,34.66889515566031,0
motion,585,200,28.17087289436318,34.83927707236286,0
motion,523,201,25.225491893251387,23.014754418789977,0
motion,585,209,29.05521406356177,35.93349726018383,0
motion,524,201,25.57815447152756,23.22918088955261,0
motion,523,201,25.789866452229,23.014754418789977,0
motion,586,208,29.465924136800837,35.98067756861831,0
motion,521,193,25.59726861070547,21.885792016673165,0
motion,585,177,29.52541808896202,32.2928864986834,0
motion,595,199,29.04876223737874,36.38435181583589,0
motion,518,190,25.383571919999184,21.00510391376845,0
motion,584,205,28.542673933299838,35.26822549258151,0
motion,522,195,25.44076567390603,22.26825365464876,0
motion,596,200,29.66384892622375,36.66743990362582,0
motion,523,189,25.57776108836472,21.967243406812884,0
motion,522,194,25.532560222404225,22.181966263220275,0
